product_id,product_name,category,price_per_unit,brand,product_description
1,Butter,Dairy,28.58,BrandB,Description for Rice
2,Butter,Meats,22.66,BrandB,Description for Banana
3,Milk,Meats,26.52,BrandE,Description for Banana
4,Banana,Grains,26.12,BrandB,Description for Apple
5,Rice,Fruits,21.94,BrandD,Description for Banana
6,Chicken,Dairy,2.7,BrandA,Description for Apple
7,Eggs,Grains,26.72,BrandA,Description for Apple
8,Cheese,Grains,26.52,BrandA,Description for Apple
9,Bread,Dairy,14.25,BrandB,Description for Butter
10,Rice,Meats,4.13,BrandE,Description for Chicken
11,Milk,Fruits,9.33,BrandA,Description for Pasta
12,Pasta,Fruits,17.94,BrandC,Description for Banana
13,Banana,Grains,20.71,BrandB,Description for Cheese
14,Milk,Fruits,3.89,BrandB,Description for Bread
15,Pasta,Meats,5.07,BrandD,Description for Banana
16,Pasta,Meats,28.87,BrandE,Description for Milk
17,Apple,Dairy,8.48,BrandE,Description for Eggs
18,Bread,Grains,22.32,BrandC,Description for Eggs
19,Apple,Fruits,19.58,BrandB,Description for Banana
20,Eggs,Meats,1.0,BrandB,Description for Butter
21,Cheese,Grains,26.72,BrandB,Description for Milk
22,Butter,Dairy,2.32,BrandB,Description for Eggs
23,Eggs,Fruits,12.27,BrandC,Description for Milk
24,Bread,Dairy,14.36,BrandD,Description for Milk
25,Bread,Dairy,8.83,BrandD,Description for Milk
26,Bread,Meats,20.58,BrandE,Description for Banana
27,Bread,Grains,28.58,BrandB,Description for Eggs
28,Bread,Meats,14.0,BrandE,Description for Apple
29,Cheese,Meats,14.99,BrandD,Description for Pasta
30,Pasta,Fruits,5.62,BrandA,Description for Butter
31,Cheese,Meats,28.69,BrandB,Description for Eggs
32,Bread,Grains,14.62,BrandD,Description for Cheese
33,Bread,Meats,17.47,BrandE,Description for Apple
34,Milk,Grains,23.64,BrandE,Description for Chicken
35,Apple,Grains,14.14,BrandA,Description for Milk
36,Milk,Fruits,26.65,BrandB,Description for Butter
37,Rice,Dairy,27.21,BrandC,Description for Cheese
38,Cheese,Dairy,9.04,BrandD,Description for Apple
39,Butter,Meats,29.02,BrandC,Description for Eggs
40,Bread,Meats,16.05,BrandB,Description for Rice
41,Eggs,Grains,29.96,BrandC,Description for Eggs
42,Milk,Fruits,21.63,BrandD,Description for Bread
43,Milk,Meats,7.03,BrandE,Description for Butter
44,Milk,Meats,8.48,BrandA,Description for Apple
45,Eggs,Meats,21.45,BrandB,Description for Bread
46,Chicken,Meats,12.0,BrandA,Description for Milk
47,Apple,Dairy,15.44,BrandA,Description for Butter
48,Chicken,Grains,9.64,BrandC,Description for Milk
49,Butter,Fruits,0.93,BrandD,Description for Rice
50,Milk,Meats,29.15,BrandB,Description for Apple
51,Apple,Dairy,23.59,BrandE,Description for Milk
52,Chicken,Dairy,5.21,BrandD,Description for Bread
53,Eggs,Meats,6.08,BrandD,Description for Apple
54,Milk,Dairy,5.24,BrandE,Description for Butter
55,Apple,Meats,23.58,BrandD,Description for Apple
56,Milk,Fruits,14.78,BrandB,Description for Cheese
57,Butter,Fruits,19.33,BrandA,Description for Chicken
58,Cheese,Grains,22.9,BrandD,Description for Eggs
59,Apple,Dairy,11.8,BrandD,Description for Rice
60,Bread,Dairy,6.6,BrandE,Description for Apple
61,Apple,Grains,3.13,BrandB,Description for Banana
62,Pasta,Meats,21.59,BrandA,Description for Eggs
63,Eggs,Meats,15.12,BrandD,Description for Apple
64,Pasta,Grains,3.63,BrandB,Description for Butter
65,Banana,Meats,12.58,BrandD,Description for Butter
66,Eggs,Grains,13.6,BrandC,Description for Bread
67,Eggs,Dairy,11.8,BrandA,Description for Milk
68,Cheese,Fruits,22.14,BrandC,Description for Eggs
69,Chicken,Fruits,29.06,BrandC,Description for Bread
70,Chicken,Fruits,4.22,BrandE,Description for Cheese
71,Rice,Dairy,3.34,BrandC,Description for Eggs
72,Rice,Fruits,23.95,BrandE,Description for Butter
73,Cheese,Meats,14.03,BrandD,Description for Rice
74,Cheese,Meats,13.9,BrandD,Description for Banana
75,Rice,Meats,11.23,BrandA,Description for Chicken
76,Rice,Dairy,23.35,BrandB,Description for Eggs
77,Milk,Fruits,3.16,BrandB,Description for Butter
78,Banana,Grains,3.2,BrandE,Description for Rice
79,Butter,Dairy,10.32,BrandC,Description for Milk
80,Cheese,Meats,11.56,BrandB,Description for Chicken
81,Eggs,Fruits,20.62,BrandD,Description for Eggs
82,Apple,Fruits,19.25,BrandD,Description for Eggs
83,Eggs,Meats,11.49,BrandB,Description for Pasta
84,Pasta,Grains,25.6,BrandA,Description for Pasta
85,Rice,Grains,21.25,BrandD,Description for Eggs
86,Chicken,Meats,2.5,BrandA,Description for Cheese
87,Bread,Fruits,29.97,BrandB,Description for Rice
88,Pasta,Grains,19.39,BrandB,Description for Rice
89,Cheese,Fruits,20.81,BrandB,Description for Cheese
90,Pasta,Meats,9.56,BrandD,Description for Butter
91,Cheese,Meats,25.09,BrandA,Description for Chicken
92,Butter,Grains,15.06,BrandB,Description for Pasta
93,Eggs,Grains,28.8,BrandD,Description for Banana
94,Pasta,Meats,13.97,BrandE,Description for Chicken
95,Chicken,Grains,12.05,BrandB,Description for Milk
96,Rice,Meats,16.25,BrandA,Description for Cheese
97,Bread,Meats,1.6,BrandD,Description for Pasta
98,Bread,Grains,10.08,BrandB,Description for Pasta
99,Bread,Grains,21.91,BrandB,Description for Bread
100,Rice,Grains,9.75,BrandA,Description for Butter
101,Banana,Fruits,10.35,BrandB,Description for Butter
102,Banana,Fruits,9.88,BrandC,Description for Milk
103,Butter,Grains,24.37,BrandA,Description for Eggs
104,Butter,Dairy,17.18,BrandA,Description for Chicken
105,Pasta,Grains,15.28,BrandC,Description for Banana
106,Rice,Grains,21.03,BrandC,Description for Banana
107,Milk,Dairy,5.65,BrandC,Description for Chicken
108,Milk,Fruits,4.66,BrandB,Description for Pasta
109,Pasta,Grains,24.51,BrandE,Description for Banana
110,Cheese,Fruits,25.87,BrandB,Description for Milk
111,Milk,Dairy,2.97,BrandC,Description for Banana
112,Apple,Fruits,27.04,BrandB,Description for Pasta
113,Apple,Meats,17.57,BrandE,Description for Apple
114,Rice,Fruits,20.65,BrandB,Description for Cheese
115,Banana,Fruits,28.09,BrandE,Description for Eggs
116,Butter,Dairy,25.41,BrandD,Description for Rice
117,Bread,Meats,2.77,BrandD,Description for Chicken
118,Pasta,Fruits,27.83,BrandD,Description for Apple
119,Cheese,Grains,6.15,BrandE,Description for Pasta
120,Butter,Grains,21.39,BrandD,Description for Apple
